"","geneID","HS01","HS02","HS03","HS04","HS05","CL08","CL10","CL11","CL12","CL13"
"103","APOBEC3F",0.0307979953216372,1.27178962789275,1.01756294962537,0.987600286890917,-1.28132806748301,3.38994561857813,3.36778093749656,4.07918691253816,3.53052988107096,3.64588160753932
"104","APOBEC3G",0.893538122779979,2.42906643650727,1.94199199250152,1.7642500251672,3.35554867323195,5.75348042057781,6.37533737280884,6.88564991500125,7.24122460130723,6.43762450477315
"105","APOC1",2.97946217315968,3.77317533850876,1.65486141011789,1.76902858198736,3.01966420737504,7.36368778355899,6.08062171075463,5.52659609078363,6.59398064257386,6.91214671786372
"106","APOC4-APOC2",0.56587883968028,-0.0223668223758183,-4.481588520959,0.383564566278112,0.19654455938047,3.78491140806773,2.16102959597792,1.98310838654454,3.14266570969625,2.65628191405373
"107","APOD",7.16206325082896,7.18290848767723,7.15136581030458,7.26096461825612,8.19081311319629,4.20556769664265,5.05435212669864,5.05148293167277,3.64290369387181,5.08363387571071
"108","APOL1",1.25470081918867,3.02867320909417,3.36609841856992,2.74415345049994,3.28691063991779,6.81605506328789,7.08336519838954,7.98524630149793,7.57770321645158,7.91732724793138
"109","APOL2",3.83175955807211,5.00378725856284,3.9791292640972,4.36235891479702,5.19161596382744,6.9495092126049,7.10438638459211,7.90573070668094,7.82882933106213,7.46033205206262
"110","APOL3",3.75937163015602,5.31338044111585,5.54340683573012,5.66790066597793,4.33348539881532,7.92954545100525,8.37141339656077,8.96835132111013,9.23669527628776,9.02351368860612
"111","APOL4",1.12097145655696,2.64670676096347,2.41261967473249,3.84836360179936,1.10240993290285,5.70165879245997,4.73232264883171,5.74136376481685,3.55728539877656,6.76721569669689
"112","APOL6",4.25976064334282,6.94382086059028,6.83939627943788,5.56396445491602,6.00340293076426,7.85615401748706,8.60677622203777,9.43195340961347,9.28179240881573,9.01787152289294
"113","AQP5",8.00964788743896,6.37276998001941,7.18580438190288,6.3091800886596,5.67881137138208,6.59672253982795,1.32223920703843,3.0033096960548,3.02181287405282,1.43911900683164
"114","AQP7",1.57686766088108,2.33028963296588,3.84873929853125,4.26419886912733,1.77183653159679,-2.30050427948802,-0.741474584708845,-0.67661252129071,-1.96093900266957,-0.997171710972492
"115","AR",5.7825417281011,6.84711371915182,6.69535032695785,6.86679327644794,5.58130624396873,3.17599634332248,4.61693660502156,4.10540063837911,2.35418030648828,2.92163797705317
"116","ARFGEF3",6.48227930746887,5.82235602934374,6.26234537625578,6.05650090778677,5.74358021889823,2.79050234560107,2.84129072768326,3.04987636029029,2.52102351595867,3.48413443823748
"117","ARHGAP15",3.19560269940225,3.54990471463048,4.16280940248179,3.17178013659437,1.11757319440511,5.19348498146752,5.77511623445596,5.89192414837957,6.06286226982857,5.21388638856024
"118","ARHGAP20",4.54770407609435,4.93131822648753,6.43160160124645,5.92034096139919,2.47726934868049,2.63654804952647,2.13375350228267,3.27863158010872,1.89932015685536,3.29638820764156
"119","ARHGAP23",7.87741337962056,7.46987526986972,7.33487313164016,7.0105026230709,6.86639525980076,5.57302660946465,5.61718459345158,5.04095984638465,4.45620761905326,5.73413326538713
"120","ARHGAP25",4.09493655608882,3.95297543728627,4.08301209094841,4.06913530174397,4.72597405116245,6.35053927720578,6.59503051699651,6.54941801443337,6.77841681747014,6.83522877240502
"121","ARHGAP30",4.40378854534534,5.13410465168112,5.18554600364223,4.19952162056297,6.08136410306337,7.60314882958235,8.06107375397635,7.91038377506021,8.37300770777242,8.26932747343529
"122","ARHGAP4",2.16430560730938,2.76361715557233,3.19824462121413,3.32099970524094,4.40734447280283,5.51244431340248,6.45407344009317,7.04938676672965,6.92330954382383,6.00995414012659
